name,c1_norm,c2_norm,c3_norm
Hotel Indah Jaya,0.8444444444444446,0.8854166666666666,0.8979591836734694
Penginapan Sederhana,0.44444444444444453,0.625,0.6632653061224489
Luxury Resort Spa,1.0,0.9635416666666666,0.9591836734693877
Budget Inn City Center,0.2666666666666667,0.5260416666666666,0.5918367346938775
Grand Emerald Suites,0.7777777777777778,0.9166666666666666,0.9183673469387754
Sea View Beach Hotel,0.8444444444444446,0.8177083333333334,0.8367346938775508
Transit Hotel Airport,0.6000000000000001,0.6770833333333334,0.7142857142857142
Boutique Art Hotel,0.6666666666666669,0.8541666666666666,0.8673469387755102
Eco Lodge Resort,0.4,0.78125,0.8163265306122448
The Presidential Palace,0.8888888888888891,1.0,1.0
