name,c1_weighted,c2_weighted,c3_weighted
Hotel Indah Jaya,0.38000000000000006,0.265625,0.22448979591836735
Penginapan Sederhana,0.20000000000000004,0.1875,0.16581632653061223
Luxury Resort Spa,0.45,0.2890625,0.23979591836734693
Budget Inn City Center,0.12000000000000002,0.1578125,0.14795918367346939
Grand Emerald Suites,0.35000000000000003,0.27499999999999997,0.22959183673469385
Sea View Beach Hotel,0.38000000000000006,0.2453125,0.2091836734693877
Transit Hotel Airport,0.2700000000000001,0.203125,0.17857142857142855
Boutique Art Hotel,0.3000000000000001,0.25625,0.21683673469387754
Eco Lodge Resort,0.18000000000000002,0.234375,0.2040816326530612
The Presidential Palace,0.4000000000000001,0.3,0.25
