rank,name,saw_score,c1_weighted,c2_weighted,c3_weighted
1,Luxury Resort Spa,0.9788584183673469,0.45,0.2890625,0.23979591836734693
2,The Presidential Palace,0.9500000000000001,0.4000000000000001,0.3,0.25
3,Hotel Indah Jaya,0.8701147959183675,0.38000000000000006,0.265625,0.22448979591836735
4,Grand Emerald Suites,0.8545918367346939,0.35000000000000003,0.27499999999999997,0.22959183673469385
5,Sea View Beach Hotel,0.8344961734693878,0.38000000000000006,0.2453125,0.2091836734693877
6,Boutique Art Hotel,0.7730867346938777,0.3000000000000001,0.25625,0.21683673469387754
7,Transit Hotel Airport,0.6516964285714286,0.2700000000000001,0.203125,0.17857142857142855
8,Eco Lodge Resort,0.6184566326530613,0.18000000000000002,0.234375,0.2040816326530612
9,Penginapan Sederhana,0.5533163265306122,0.20000000000000004,0.1875,0.16581632653061223
10,Budget Inn City Center,0.4257716836734694,0.12000000000000002,0.1578125,0.14795918367346939
