name,c1_raw,c2_raw,c3_raw
Super OYO Capital O 1630 Hotel Syariah Ring Road,0.22,42.16,8.072413793103449
RedDoorz Syariah near Paradiso Beach Sabang,0.22,34.6,7.94375
OYO 1845 GM Inn Hotel,0.23,0.0,4.3999999999999995
HMQ Guest House,0.15000000000000002,0.0,0.0
Capital O 2018 Ring Road Guest House Syariah,0.22,43.18,7.581920903954802
Brand new vacation house- Private gated community,0.18000000000000002,0.0,5.666666666666667
The Pade Hotel,0.28,46.82,8.646212121212121
I am Backpacker Hostel,0.42,32.56,8.248484848484848
Mars Hotel Banda Aceh,0.25,0.0,6.811111111111111
Arpen Bungalow Iboih,0.28,0.0,6.290909090909091
GM INN HOTEL,0.39999999999999997,41.88,8.388652482269503
SeaGate Bungalows,0.18000000000000002,29.37,9.831155778894473
Nagoya Inn Sabang,0.0,0.0,10.0
Hotel Madinah,0.0,0.0,0.0
MyHome Hotel Aceh,0.27,30.57,8.37037037037037
Grand Aceh Hotel,0.22,30.59,7.513253012048193
QQ HOMESTAY,0.08,27.86,6.45
Anoi Itam Resort,0.18000000000000002,51.97,6.555555555555555
Banda Aceh Houses,0.0,0.0,0.0
Grand Lambhuk Hotel,0.0,48.03,9.8
RedDoorz Premium near Anoi Itam Beach Sabang,0.23,0.0,5.525
RedDoorz Syariah near RSUD Zainoel Abidin Banda Aceh,0.22,33.93,7.953846153846153
Beu Ceubeh Cottage - Family Room,0.13,38.28,9.040000000000001
De Mawar Hotel,0.0,0.0,0.0
RedDoorz Syariah Near Universitas Syiah Kuala Aceh,0.0,0.0,0.0
Homestay Syafari,0.0,0.0,0.0
Furqan Guest House,0.03,0.0,0.0
AFARIS Residence By Amazing,0.39999999999999997,0.0,5.925
Seventeen Hotel,0.15,0.0,8.789090909090909
Hotel Medan Banda Aceh,0.27,42.83,9.709090909090909
Mita Mulia Hotel By Calandra,0.3,0.0,8.273684210526316
Hotel Anggrek Banda Aceh,0.1,0.0,5.2
Grand Nanggroe Hotel,0.28,40.49,6.642045454545454
Amel Hotel Convention Hall,0.39999999999999997,0.0,9.136842105263158
Lumba Lumba Diving Centre & Beach Resort,0.22,0.0,9.0
Tyasha Homestay,0.07,64.85,9.6
Hotel AMEL,0.25,37.52,8.961209964412811
Capital O 90682 Hotel Bayu Hill,0.2,0.0,10.0
Depik Inn,0.38,48.09,9.192857142857141
RedDoorz Syariah near Danau Lut Tawar Takengon,0.27,30.79,5.739130434782608
Collection O Darussalam Near Universitas Syiah Kuala Formerly Meurah Mulia,0.27,41.66,8.395348837209303
