name,c1_norm,c2_norm,c3_norm
Super OYO Capital O 1630 Hotel Syariah Ring Road,0.5238095238095238,0.6501156515034695,0.8072413793103449
RedDoorz Syariah near Paradiso Beach Sabang,0.5238095238095238,0.5335389360061682,0.7943749999999999
OYO 1845 GM Inn Hotel,0.5476190476190477,0.0,0.43999999999999995
HMQ Guest House,0.3571428571428572,0.0,0.0
Capital O 2018 Ring Road Guest House Syariah,0.5238095238095238,0.6658442559753277,0.7581920903954802
Brand new vacation house- Private gated community,0.42857142857142866,0.0,0.5666666666666667
The Pade Hotel,0.6666666666666667,0.7219737856592137,0.8646212121212121
I am Backpacker Hostel,1.0,0.5020817270624519,0.8248484848484848
Mars Hotel Banda Aceh,0.5952380952380952,0.0,0.6811111111111111
Arpen Bungalow Iboih,0.6666666666666667,0.0,0.6290909090909091
GM INN HOTEL,0.9523809523809523,0.64579799537394,0.8388652482269503
SeaGate Bungalows,0.42857142857142866,0.4528912875867387,0.9831155778894474
Nagoya Inn Sabang,0.0,0.0,1.0
Hotel Madinah,0.0,0.0,0.0
MyHome Hotel Aceh,0.6428571428571429,0.4713955281418659,0.837037037037037
Grand Aceh Hotel,0.5238095238095238,0.471703932151118,0.7513253012048193
QQ HOMESTAY,0.1904761904761905,0.4296067848882036,0.645
Anoi Itam Resort,0.42857142857142866,0.8013878180416346,0.6555555555555556
Banda Aceh Houses,0.0,0.0,0.0
Grand Lambhuk Hotel,0.0,0.7406322282189669,0.9800000000000001
RedDoorz Premium near Anoi Itam Beach Sabang,0.5476190476190477,0.0,0.5525
RedDoorz Syariah near RSUD Zainoel Abidin Banda Aceh,0.5238095238095238,0.523207401696222,0.7953846153846154
Beu Ceubeh Cottage - Family Room,0.30952380952380953,0.5902852737085583,0.9040000000000001
De Mawar Hotel,0.0,0.0,0.0
RedDoorz Syariah Near Universitas Syiah Kuala Aceh,0.0,0.0,0.0
Homestay Syafari,0.0,0.0,0.0
Furqan Guest House,0.07142857142857142,0.0,0.0
AFARIS Residence By Amazing,0.9523809523809523,0.0,0.5925
Seventeen Hotel,0.35714285714285715,0.0,0.8789090909090909
Hotel Medan Banda Aceh,0.6428571428571429,0.6604471858134157,0.9709090909090909
Mita Mulia Hotel By Calandra,0.7142857142857143,0.0,0.8273684210526315
Hotel Anggrek Banda Aceh,0.2380952380952381,0.0,0.52
Grand Nanggroe Hotel,0.6666666666666667,0.6243639167309176,0.6642045454545454
Amel Hotel Convention Hall,0.9523809523809523,0.0,0.9136842105263158
Lumba Lumba Diving Centre & Beach Resort,0.5238095238095238,0.0,0.9
Tyasha Homestay,0.16666666666666669,1.0,0.96
Hotel AMEL,0.5952380952380952,0.5785659213569777,0.8961209964412811
Capital O 90682 Hotel Bayu Hill,0.4761904761904762,0.0,1.0
Depik Inn,0.9047619047619048,0.7415574402467233,0.9192857142857142
RedDoorz Syariah near Danau Lut Tawar Takengon,0.6428571428571429,0.4747879722436392,0.5739130434782609
Collection O Darussalam Near Universitas Syiah Kuala Formerly Meurah Mulia,0.6428571428571429,0.6424055512721666,0.8395348837209303
Hotel Belangi Syariah Takengon Mitra RedDoorz,0.6428571428571429,0.39768696993060915,0.6314285714285715
Casanemo Beach Resort & Spa,0.7857142857142857,0.6131071703932152,0.862890756302521
Hotel Bayu Hill,0.6666666666666667,0.49128758673862766,0.7614545454545455
UMAH BANGO BUNGALOW,0.4761904761904762,0.0,1.0
Muraya Hotel Aceh ,0.5952380952380952,0.4542791056283732,0.8300000000000001
Grand Bayu Hill Hotel,0.5952380952380952,0.6003084040092521,0.8459130434782608
Pintu Waluh Homestay,0.42857142857142866,0.7333847340015421,0.8400000000000001
Hotel Diana Banda Aceh,0.5238095238095238,0.0,0.0
Grand Emperom Hotel Mitra RedDoorz,0.6428571428571429,0.5827293754818813,0.8745454545454546
Hip Hope Hotel,0.5238095238095238,0.6095605242868158,0.9221621621621621
Wisma Diamond,0.4047619047619048,0.0,0.8400000000000001
RedDoorz Syariah near Pasar Aceh Shopping Centre,0.6428571428571429,0.517656129529684,0.6332075471698114
Arizona Guesthouse,0.5238095238095238,0.0,0.6666666666666667
RedDoorz Syariah near Ujong Kareung Beach Sabang,0.9047619047619048,0.5488049344641481,0.7984
Hotel Qory Syari'ah,0.5952380952380952,0.0,1.0
Plum Hotel Lading Banda Aceh,0.47619047619047616,0.6262143407864302,0.8008275862068966
Guest House Gani Syariah,0.7142857142857143,0.0,0.2
RedDoorz Syariah @ Jalan Gajah Mada Meulaboh,0.4761904761904762,0.5575944487278335,0.8175000000000001
The Pade Dive Resort,0.6666666666666667,0.4272937548188127,0.7174193548387098
New York Room-a Boutique Hotel in Banda Aceh,0.3571428571428572,0.0,0.0
Gayo Room-a Boutique Hotel in Banda Aceh,0.4047619047619048,0.0,0.0
Ulumasen Room-a Boutique Hotel in Banda Aceh,0.3571428571428572,0.0,0.0
RedDoorz Syariah near Pelabuhan Ulee Lheue Banda Aceh,0.4761904761904762,0.5901310717039322,0.8958333333333334
Banda Aceh Batoh Homestay - private - fits up to 8 persons,0.6666666666666667,0.0,0.86
Rihlah Resort Iboih Sabang,0.6666666666666667,0.44024672320740177,0.9217391304347826
Pahang Room-a Boutique Hotel in Banda Aceh,0.3571428571428572,0.0,0.0
BEU CEBEUH COTTAGE ,0.5476190476190477,0.5037779491133385,0.7780952380952381
