name,c1_weighted,c2_weighted,c3_weighted
Super OYO Capital O 1630 Hotel Syariah Ring Road,0.23571428571428574,0.19503469545104085,0.20181034482758622
RedDoorz Syariah near Paradiso Beach Sabang,0.23571428571428574,0.16006168080185046,0.19859374999999999
OYO 1845 GM Inn Hotel,0.24642857142857147,0.0,0.10999999999999999
HMQ Guest House,0.16071428571428575,0.0,0.0
Capital O 2018 Ring Road Guest House Syariah,0.23571428571428574,0.1997532767925983,0.18954802259887005
Brand new vacation house- Private gated community,0.1928571428571429,0.0,0.14166666666666666
The Pade Hotel,0.30000000000000004,0.2165921356977641,0.21615530303030303
I am Backpacker Hostel,0.45,0.15062451811873556,0.2062121212121212
Mars Hotel Banda Aceh,0.26785714285714285,0.0,0.17027777777777778
Arpen Bungalow Iboih,0.30000000000000004,0.0,0.1572727272727273
GM INN HOTEL,0.42857142857142855,0.193739398612182,0.20971631205673757
SeaGate Bungalows,0.1928571428571429,0.1358673862760216,0.24577889447236184
Nagoya Inn Sabang,0.0,0.0,0.25
Hotel Madinah,0.0,0.0,0.0
MyHome Hotel Aceh,0.2892857142857143,0.14141865844255977,0.20925925925925926
Grand Aceh Hotel,0.23571428571428574,0.14151117964533538,0.18783132530120483
QQ HOMESTAY,0.08571428571428573,0.12888203546646107,0.16125
Anoi Itam Resort,0.1928571428571429,0.24041634541249038,0.1638888888888889
Banda Aceh Houses,0.0,0.0,0.0
Grand Lambhuk Hotel,0.0,0.22218966846569008,0.24500000000000002
RedDoorz Premium near Anoi Itam Beach Sabang,0.24642857142857147,0.0,0.138125
RedDoorz Syariah near RSUD Zainoel Abidin Banda Aceh,0.23571428571428574,0.1569622205088666,0.19884615384615384
Beu Ceubeh Cottage - Family Room,0.1392857142857143,0.1770855821125675,0.22600000000000003
De Mawar Hotel,0.0,0.0,0.0
RedDoorz Syariah Near Universitas Syiah Kuala Aceh,0.0,0.0,0.0
Homestay Syafari,0.0,0.0,0.0
Furqan Guest House,0.03214285714285714,0.0,0.0
AFARIS Residence By Amazing,0.42857142857142855,0.0,0.148125
Seventeen Hotel,0.16071428571428573,0.0,0.21972727272727272
Hotel Medan Banda Aceh,0.2892857142857143,0.19813415574402468,0.24272727272727274
Mita Mulia Hotel By Calandra,0.32142857142857145,0.0,0.20684210526315788
Hotel Anggrek Banda Aceh,0.10714285714285715,0.0,0.13
Grand Nanggroe Hotel,0.30000000000000004,0.18730917501927527,0.16605113636363636
Amel Hotel Convention Hall,0.42857142857142855,0.0,0.22842105263157894
Lumba Lumba Diving Centre & Beach Resort,0.23571428571428574,0.0,0.225
Tyasha Homestay,0.07500000000000001,0.3,0.24
Hotel AMEL,0.26785714285714285,0.1735697764070933,0.22403024911032027
Capital O 90682 Hotel Bayu Hill,0.2142857142857143,0.0,0.25
Depik Inn,0.40714285714285714,0.222467232074017,0.22982142857142854
RedDoorz Syariah near Danau Lut Tawar Takengon,0.2892857142857143,0.14243639167309177,0.14347826086956522
Collection O Darussalam Near Universitas Syiah Kuala Formerly Meurah Mulia,0.2892857142857143,0.19272166538164998,0.20988372093023258
Hotel Belangi Syariah Takengon Mitra RedDoorz,0.2892857142857143,0.11930609097918274,0.15785714285714286
Casanemo Beach Resort & Spa,0.3535714285714286,0.18393215111796454,0.21572268907563025
Hotel Bayu Hill,0.30000000000000004,0.1473862760215883,0.19036363636363637
UMAH BANGO BUNGALOW,0.2142857142857143,0.0,0.25
Muraya Hotel Aceh ,0.26785714285714285,0.13628373168851196,0.20750000000000002
Grand Bayu Hill Hotel,0.26785714285714285,0.18009252120277564,0.2114782608695652
Pintu Waluh Homestay,0.1928571428571429,0.22001542020046264,0.21000000000000002
